Source: ACS 5-Year Estimates Public Use Microdata Sample 2022
Weight used: PWGTP
"Universe: selected geographies: California"
"","Recoded detailed Hispanic origin (HISP)","","","","","","","","","","","","","","","","","","","","","","","",""
"Age recode (AGEP_RC1)","Total","Not Spanish/Hispanic/Latino","Mexican","Puerto Rican","Cuban","Dominican","Costa Rican","Guatemalan","Honduran","Nicaraguan","Panamanian","Salvadoran","Other Central American","Argentinean","Bolivian","Chilean","Colombian","Ecuadorian","Paraguayan","Peruvian","Uruguayan","Venezuelan","Other South American","Spaniard","All Other Spanish/Hispanic/Latino"
" -> Total -> Total California -> Total Bangladeshi alone","16167","16167","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"85+","30","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","848","848","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","2062","2062","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15 - 24","2222","2222","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25 - 34","2336","2336","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35 - 44","2844","2844","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45 - 54","2602","2602","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55 - 64","1870","1870","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65 - 74","946","946","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75 - 84","269","269","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0 - 1","138","138","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Bhutanese alone","137","122","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15"
"85+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","31","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15 - 24","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25 - 34","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35 - 44","39","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45 - 54","35","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13"
"55 - 64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65 - 74","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75 - 84","14","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"0 - 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Burmese alone","17221","17097","99","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25"
"85+","261","261","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","439","439","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","1428","1428","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15 - 24","2497","2431","66","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25 - 34","1986","1947","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"35 - 44","2387","2376","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11"
"45 - 54","3118","3110","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
"55 - 64","2509","2509","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65 - 74","1635","1635","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75 - 84","854","854","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0 - 1","107","107","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Cambodian alone","94617","93361","899","14","0","0","0","21","0","26","0","0","0","0","0","0","40","0","0","23","0","0","0","0","233"
"85+","946","946","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","4229","4047","182","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","11794","11432","220","14","0","0","0","11","0","26","0","0","0","0","0","0","7","0","0","0","0","0","0","0","84"
"15 - 24","12347","12016","249","0","0","0","0","10","0","0","0","0","0","0","0","0","33","0","0","23","0","0","0","0","16"
"25 - 34","17840","17700","128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12"
"35 - 44","16269","16167","74","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28"
"45 - 54","12531","12439","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","72"
"55 - 64","8931","8905","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65 - 74","6496","6475","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21"
"75 - 84","2380","2380","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0 - 1","854","854","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Chinese, except Taiwanese, alone","1522981","1511981","5676","376","406","7","32","172","43","295","388","337","35","93","7","68","50","323","0","500","0","179","159","301","1553"
"85+","43726","43632","25","0","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33"
"1 - 4","51900","51348","313","0","52","0","0","26","0","0","19","25","0","0","0","26","13","0","0","78","0","0","0","0","0"
"5 - 14","127914","126867","739","30","0","0","0","0","0","62","17","33","35","12","7","0","0","0","0","47","0","0","18","31","16"
"15 - 24","172280","170295","1342","33","61","7","0","30","0","0","32","83","0","47","0","0","26","94","0","24","0","20","0","3","183"
"25 - 34","244568","242394","1305","43","14","0","0","23","0","33","140","53","0","0","0","0","0","65","0","137","0","109","0","132","120"
"35 - 44","210032","208755","580","96","15","0","0","12","0","41","11","17","0","0","0","21","0","58","0","29","0","0","0","35","362"
"45 - 54","213606","212228","458","147","25","0","0","12","0","12","73","31","0","34","0","0","0","40","0","93","0","0","50","86","317"
"55 - 64","212711","211162","575","0","134","0","32","58","43","127","41","67","0","0","0","0","11","55","0","46","0","50","91","14","205"
"65 - 74","161287","160753","179","27","18","0","0","11","0","0","44","0","0","0","0","0","0","0","0","23","0","0","0","0","232"
"75 - 84","74042","73754","70","0","51","0","0","0","0","20","11","17","0","0","0","0","0","11","0","23","0","0","0","0","85"
"0 - 1","10915","10793","90","0","0","0","0","0","0","0","0","11","0","0","0","21","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Taiwanese alone","104822","104447","131","0","18","0","0","0","0","0","0","67","0","11","0","25","36","0","0","0","0","0","0","30","57"
"85+","1429","1429","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","4061","4043","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0"
"5 - 14","9806","9719","87","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15 - 24","10090","10045","15","0","12","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25 - 34","17433","17340","10","0","6","0","0","0","0","0","0","26","0","0","0","0","36","0","0","0","0","0","0","15","0"
"35 - 44","19555","19492","16","0","0","0","0","0","0","0","0","0","0","11","0","25","0","0","0","0","0","0","0","0","11"
"45 - 54","14874","14845","0","0","0","0","0","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","6"
"55 - 64","11564","11524","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40"
"65 - 74","10553","10553","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75 - 84","4582","4582","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0 - 1","875","875","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Filipino alone","1284750","1240596","27691","2468","480","39","42","837","203","351","175","1302","0","156","69","54","66","190","0","30","0","15","0","3157","6829"
"85+","25980","25762","74","15","15","0","0","17","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","70","20"
"1 - 4","35375","31785","2724","316","36","17","24","71","25","38","0","146","0","0","27","0","0","0","0","15","0","0","0","12","139"
"5 - 14","108825","101869","5038","501","51","0","0","128","56","124","12","237","0","34","0","30","0","79","0","0","0","0","0","85","581"
"15 - 24","149063","141268","4801","442","78","10","0","143","0","150","111","475","0","108","0","0","23","34","0","11","0","0","0","755","654"
"25 - 34","178502","170193","5986","536","158","0","10","176","59","39","0","235","0","14","0","10","0","21","0","4","0","15","0","334","712"
"35 - 44","185721","180997","2892","203","9","0","0","57","63","0","0","39","0","0","31","14","29","25","0","0","0","0","0","715","647"
"45 - 54","194344","189617","2359","140","59","0","0","71","0","0","0","65","0","0","11","0","0","19","0","0","0","0","0","388","1615"
"55 - 64","182810","179646","1339","127","37","12","8","83","0","0","26","44","0","0","0","0","0","12","0","0","0","0","0","373","1103"
"65 - 74","148728","145811","1386","160","28","0","0","0","0","0","26","35","0","0","0","0","0","0","0","0","0","0","0","373","909"
"75 - 84","68103","67223","335","28","9","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52","449"
"0 - 1","7299","6425","757","0","0","0","0","84","0","0","0","19","0","0","0","0","14","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Hmong alone","102995","101958","389","0","0","0","0","0","0","0","0","41","0","0","0","0","0","0","0","0","0","0","0","0","607"
"85+","655","655","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","9396","9012","156","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","214"
"5 - 14","20051","19689","165","0","0","0","0","0","0","0","0","27","0","0","0","0","0","0","0","0","0","0","0","0","170"
"15 - 24","17307","17249","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18"
"25 - 34","24134","24026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","108"
"35 - 44","14396","14375","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21"
"45 - 54","6510","6445","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65"
"55 - 64","4716","4707","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65 - 74","3022","3022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75 - 84","896","885","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11"
"0 - 1","1912","1893","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Indonesian alone","31273","30719","471","26","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","44"
"85+","351","351","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","487","487","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","3187","3174","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15 - 24","4669","4556","81","19","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0"
"25 - 34","4402","4118","264","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20"
"35 - 44","4456","4428","21","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45 - 54","5878","5777","92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9"
"55 - 64","4084","4071","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13"
"65 - 74","2500","2498","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"75 - 84","1127","1127","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0 - 1","132","132","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Japanese alone","255434","244677","7729","556","201","10","0","111","88","28","12","267","0","20","21","56","50","10","0","764","0","21","0","322","491"
"85+","20404","20253","34","9","103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"1 - 4","5654","5073","476","18","0","0","0","0","56","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","12870","11315","1386","50","8","0","0","14","0","0","0","66","0","0","0","0","0","10","0","21","0","0","0","0","0"
"15 - 24","15906","13815","1742","30","14","0","0","9","0","0","0","58","0","0","0","13","24","0","0","58","0","21","0","13","109"
"25 - 34","23132","21018","1431","227","76","10","0","43","0","7","0","48","0","20","0","13","0","0","0","90","0","0","0","66","83"
"35 - 44","31123","29628","1084","29","0","0","0","32","0","8","12","8","0","0","0","12","13","0","0","87","0","0","0","166","44"
"45 - 54","36343","35204","807","47","0","0","0","0","0","13","0","56","0","0","21","0","0","0","0","123","0","0","0","27","45"
"55 - 64","44823","43705","610","70","0","0","0","13","0","0","0","0","0","0","0","0","13","0","0","216","0","0","0","26","170"
"65 - 74","40958","40686","96","12","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","94","0","0","0","24","28"
"75 - 84","23786","23585","55","64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75","0","0","0","0","7"
"0 - 1","435","395","8","0","0","0","0","0","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Korean alone","471564","468367","1955","58","115","26","0","0","11","0","0","61","0","293","0","0","28","73","0","38","0","5","0","56","478"
"85+","11493","11482","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"1 - 4","15432","15002","392","15","0","0","0","0","0","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","43063","42705","264","0","0","26","0","0","0","0","0","0","0","0","0","0","20","48","0","0","0","0","0","0","0"
"15 - 24","44096","43678","305","0","29","0","0","0","0","0","0","0","0","15","0","0","8","12","0","0","0","5","0","9","35"
"25 - 34","65244","64558","413","12","52","0","0","0","0","0","0","61","0","56","0","0","0","0","0","38","0","0","0","0","54"
"35 - 44","76948","76481","278","7","23","0","0","0","0","0","0","0","0","28","0","0","0","0","0","0","0","0","0","47","84"
"45 - 54","75996","75693","166","0","11","0","0","0","0","0","0","0","0","53","0","0","0","13","0","0","0","0","0","0","60"
"55 - 64","63365","63206","60","24","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","64"
"65 - 74","44054","43877","42","0","0","0","0","0","0","0","0","0","0","26","0","0","0","0","0","0","0","0","0","0","109"
"75 - 84","28778","28627","20","0","0","0","0","0","0","0","0","0","0","69","0","0","0","0","0","0","0","0","0","0","62"
"0 - 1","3095","3058","14","0","0","0","0","0","0","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Laotian alone","49396","48387","698","34","0","0","0","78","0","0","0","33","0","0","0","0","16","0","0","0","0","0","0","50","100"
"85+","698","698","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","1697","1466","164","0","0","0","0","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0"
"5 - 14","4842","4594","220","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0"
"15 - 24","5117","4880","100","34","0","0","0","0","0","0","0","33","0","0","0","0","16","0","0","0","0","0","0","17","37"
"25 - 34","8371","8280","91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35 - 44","9674","9633","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12"
"45 - 54","7206","7185","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21"
"55 - 64","6381","6289","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12"
"65 - 74","3845","3821","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"75 - 84","1243","1219","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
"0 - 1","322","322","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Malaysian alone","3746","3683","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20"
"85+","24","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","114","114","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","116","73","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15 - 24","342","342","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25 - 34","632","612","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20"
"35 - 44","611","611","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45 - 54","551","551","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55 - 64","777","777","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65 - 74","384","384","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75 - 84","146","146","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0 - 1","49","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Mongolian alone","6260","6237","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"85+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","360","360","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","1083","1060","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15 - 24","757","757","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25 - 34","1476","1476","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35 - 44","1018","1018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45 - 54","1274","1274","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55 - 64","193","193","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65 - 74","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75 - 84","36","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0 - 1","53","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Nepalese alone","17186","17028","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","158"
"85+","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","1179","1179","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","1936","1936","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15 - 24","2007","1928","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","79"
"25 - 34","4001","3987","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14"
"35 - 44","3966","3919","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","47"
"45 - 54","1839","1821","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18"
"55 - 64","1085","1085","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65 - 74","620","620","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75 - 84","234","234","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0 - 1","309","309","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Pakistani alone","72435","72011","231","12","0","60","0","0","0","0","0","0","0","0","0","0","17","17","0","0","0","0","0","0","87"
"85+","122","122","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","5252","5241","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","11894","11850","44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15 - 24","9915","9815","84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16"
"25 - 34","12457","12318","62","0","0","60","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0"
"35 - 44","10613","10508","30","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","58"
"45 - 54","8773","8760","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13"
"55 - 64","6355","6343","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65 - 74","4154","4154","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75 - 84","2071","2071","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0 - 1","829","829","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Sri Lankan alone","11765","11752","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"85+","73","73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","387","387","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","962","962","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15 - 24","1262","1249","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25 - 34","1799","1799","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35 - 44","1872","1872","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45 - 54","1894","1894","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55 - 64","1841","1841","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65 - 74","1079","1079","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75 - 84","565","565","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0 - 1","31","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Thai alone","50495","49784","447","14","0","0","0","12","0","0","0","21","0","0","6","0","58","0","0","0","0","0","0","42","111"
"85+","392","392","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","1185","1147","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","2926","2717","144","0","0","0","0","0","0","0","0","0","0","0","0","0","26","0","0","0","0","0","0","31","8"
"15 - 24","3219","3137","71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0"
"25 - 34","8089","7916","94","0","0","0","0","12","0","0","0","21","0","0","6","0","15","0","0","0","0","0","0","0","25"
"35 - 44","9995","9884","79","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18"
"45 - 54","8568","8568","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55 - 64","6397","6385","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12"
"65 - 74","6846","6798","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48"
"75 - 84","2397","2397","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0 - 1","481","443","21","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Vietnamese alone","682641","678495","2091","205","174","0","0","56","22","45","0","59","0","0","0","0","77","10","0","0","0","19","41","0","1347"
"85+","12261","12247","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","20690","20306","203","0","57","0","0","18","0","0","0","26","0","0","0","0","0","0","0","0","0","0","0","0","80"
"5 - 14","65265","64553","625","23","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43"
"15 - 24","88829","87941","583","69","0","0","0","17","0","45","0","0","0","0","0","0","54","0","0","0","0","0","0","0","120"
"25 - 34","94129","93531","309","62","38","0","0","0","0","0","0","33","0","0","0","0","23","0","0","0","0","0","0","0","133"
"35 - 44","88351","88018","67","51","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","0","152"
"45 - 54","114017","113530","138","0","0","0","0","0","22","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","317"
"55 - 64","97915","97530","76","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","287"
"65 - 74","66693","66464","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","173"
