"Dataset: ACS 1-Year Estimates Public Use Microdata Sample (2023)"
"Weight: PUMS person weight (PWGTP)"
"Universe:"
"Selected Geographies:"
"  California"
"","","Recoded detailed Hispanic origin (HISP)","","","","","","","","","","","","","","","","","","","","","","","",""
"Group","Recode for Age","Total Recoded detailed Hispanic origin (HISP)","Not Spanish/Hispanic/Latino","Mexican","Puerto Rican","Cuban","Dominican","Costa Rican","Guatemalan","Honduran","Nicaraguan","Panamanian","Salvadoran","Other Central American","Argentinean","Bolivian","Chilean","Colombian","Ecuadorian","Paraguayan","Peruvian","Uruguayan","Venezuelan","Other South American","Spaniard","All Other Spanish/Hispanic/Latino"
"","Total","38,965,193","23,204,816","12,647,766","224,878","88,170","27,587","21,601","540,367","130,203","142,933","24,899","765,795","9,796","50,954","20,734","34,393","138,044","58,616","1,671","117,795","7,375","31,842","3,489","155,810","515,659"
"","5 - 14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","15 - 24","184","184","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","25 - 34","462","462","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","35 - 44","150","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","45 - 54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","55 - 64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","65 - 74","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","75 - 84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","85+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> California -> Pakistani alone","","80,159","80,079","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","0 - 1","1,080","1,080","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","1 - 4","5,071","5,071","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","5 - 14","11,068","11,068","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","15 - 24","9,872","9,842","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","25 - 34","15,408","15,358","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","35 - 44","11,535","11,535","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","45 - 54","8,925","8,925","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","55 - 64","7,787","7,787","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","65 - 74","6,492","6,492","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","75 - 84","2,565","2,565","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","85+","356","356","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> California -> Blackfeet Tribe of the Blackfeet Indian Reservation of Montana alone","","2,689","1,196","1,493","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","0 - 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","1 - 4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","5 - 14","51","0","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","15 - 24","266","109","157","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","25 - 34","409","0","409","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","35 - 44","60","0","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","45 - 54","393","89","304","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","55 - 64","881","564","317","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","65 - 74","270","75","195","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","75 - 84","301","301","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","85+","58","58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> California -> Cheyenne River Sioux Tribe of the Cheyenne River Reservation, South Dakota alone","","31","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","0 - 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","1 - 4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","5 - 14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","15 - 24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","25 - 34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","35 - 44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","45 - 54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","55 - 64","31","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","65 - 74","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","75 - 84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","85+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> California -> All other American Indian tribes alone","","98,547","58,422","35,204","847","859","0","0","91","215","0","0","197","0","0","0","0","0","0","0","53","12","0","0","1,277","1,370"
"","0 - 1","873","490","383","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","1 - 4","3,852","1,917","1,572","0","222","0","0","0","141","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","5 - 14","10,550","6,621","3,246","380","102","0","0","0","74","0","0","0","0","0","0","0","0","0","0","0","0","0","0","63","64"
"","15 - 24","12,961","7,366","5,213","107","51","0","0","91","0","0","0","81","0","0","0","0","0","0","0","0","0","0","0","0","52"
"","25 - 34","15,339","7,864","6,350","217","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","53","0","0","0","293","562"
"","35 - 44","13,866","7,624","4,946","45","427","0","0","0","0","0","0","116","0","0","0","0","0","0","0","0","12","0","0","612","84"
"","45 - 54","10,476","6,762","3,431","27","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","114","85"
